ums,score_RF_output,score_RF_bayesian,score_CNN_output,score_CNN_bayesian
"[[1, 0], [0, 1]]",0.967121760936194,0.9749233769852327,0.9434382836444692,0.962385065477849
"[[1, -1], [0, 1]]",0.9792421287266648,0.976177208135971,0.9494288102535525,0.9687935358038451
"[[1, 0], [-1, 1]]",0.9714405126776261,0.9807745890220118,0.9657286152131513,0.9641961549178044
"[[10, 0], [0, 1]]",0.9071886319309,0.9095848425745333,0.8724714405126777,0.9091668988576205
"[[1, 0], [0, 10]]",0.15664530509891336,0.17305656171635553,0.1653106714962385,0.16887712454722764
"[[1, -10], [0, 1]]",0.9891587932825046,0.9633476025228602,0.9543301502064389,0.9344968210947593
"[[1, 0], [-10, 1]]",0.9749740368297068,0.9091668988576205,0.9839661592238912,0.9091668988576205
